Utterances,Precise Intent,General Intent
can you tell me more,further_info,show
what is it about,further_info,show
tell me more,further_info,show
elaborate,further_info,show
tell me about it,further_info,show
what is this show about?,further_info,show
can you talk about this show?,further_info,show
what is it?,further_info,show
what does it talk about?,further_info,show
I want to watch a movie about,discover,show
show me a movie about about,discover,show
do you have any movies about,discover,show
movie about,discover,show
movie about and,discover,show
show about and,discover,show
find me a movie about,discover,show
can you find a movie about,discover,show
I want to watch a show about,discover,show
show me a show about about,discover,show
do you have any shows about,discover,show
show about,discover,show
find me a show about,discover,show
can you find a show about,discover,show
I want to watch something about,discover,show
I want to watch a show or movie about,discover,show
show me a show or movie about about,discover,show
do you have any shows or movies about,discover,show
show or movie about,discover,show
find me a show or movie about,discover,show
can you find a show or movie about,discover,show
I want to watch a movie or show about,discover,show
show me a movie or show about about,discover,show
do you have any shows or movies about,discover,show
movie or show about,discover,show
find me a movie or show about,discover,show
can you find a movie or show about,discover,show
i wanna watch a show about,discover,show
i'd like to watch a show about,discover,show
can you recommend me a show about,discover,show
who are you?,smalltalk_agent_acquaintance,small_talk
all about you,smalltalk_agent_acquaintance,small_talk
what is your personality,smalltalk_agent_acquaintance,small_talk
define yourself,smalltalk_agent_acquaintance,small_talk
what are you,smalltalk_agent_acquaintance,small_talk
say about you,smalltalk_agent_acquaintance,small_talk
introduce yourself,smalltalk_agent_acquaintance,small_talk
describe yourself,smalltalk_agent_acquaintance,small_talk
about yourself,smalltalk_agent_acquaintance,small_talk
tell me about you,smalltalk_agent_acquaintance,small_talk
tell me about yourself,smalltalk_agent_acquaintance,small_talk
I want to know more about you,smalltalk_agent_acquaintance,small_talk
I want to know you better,smalltalk_agent_acquaintance,small_talk
talk some stuff about yourself,smalltalk_agent_acquaintance,small_talk
tell me some stuff about you,smalltalk_agent_acquaintance,small_talk
talk about yourself,smalltalk_agent_acquaintance,small_talk
why are you here,smalltalk_agent_acquaintance,small_talk
tell me about your personality,smalltalk_agent_acquaintance,small_talk
who are you,smalltalk_agent_acquaintance,small_talk
I am sad,smalltalk_user_sad,small_talk
I'm grieving,smalltalk_user_sad,small_talk
I am depressed,smalltalk_user_sad,small_talk
I am feeling sad,smalltalk_user_sad,small_talk
I am upset,smalltalk_user_sad,small_talk
I'm unhappy,smalltalk_user_sad,small_talk
I'm having a bad day,smalltalk_user_sad,small_talk
I want to cry,smalltalk_user_sad,small_talk
I'm not happy,smalltalk_user_sad,small_talk
